Gene	Cluster	purity_score	p_value	Estimate.fisher	P.cochran	Estimate.cochran	DiffChange	FDR
METTL3	12	0.81578947368421	0.00204029910922866	15.8391872078924	0.676362758907149	0.417431581381545	0.198941647597253	0.3346090539135
MTA1	6	0.8	0.565	2.88374338783395	0.252279157087718	-1.14483103387522	0.506521739130435	1
MTNR1A	14	0.880459770114943	6.60593136245133e-06	28.1962708918111	0.548948903625002	0.599335913422334	0.0407161803713531	0.00108337274344202
MTNR1B	6	0.848484848484848	0.00279565906338453	16.3185457500632	0.0616042301602276	1.86913359455766	0.010249554367201	0.458488086395063
MTTP	7	0.791666666666667	0.312255139114185	4.03900743099942	0.0500820418655824	-1.95926259523455	0.091124661246613	1
MYBBP1A	7	0.821428571428571	0.0336436850410839	10.0464589311141	0.0441716561513835	-2.01245822443001	0.027950310559006	1
MYCBP2	8	0.813953488372093	0.0081655087381585	12.6123678977952	0.147558264858427	-1.44821022844263	0.0267194458189011	1
NAMPT	9	0.821428571428571	0.00736778323100849	13.3636789688639	0.220894603308201	1.22415276730228	0.027950310559006	1
NCOA2	8	0.811111111111111	0.0175394958968766	10.8328767038454	0.00571028747530782	-2.76396951040227	0.228039010797631	1
NCOR1	7	0.787234042553192	0.170350449484745	5.18187827157642	0.531762303567288	0.625318098899263	0.210935341254491	1
NFIL3	8	0.824324324324324	0.032565911650476	10.1918779210068	0.134738523094233	-1.49567440575449	0.239618441971383	1
NGFR	5	0.782608695652174	0.324214608920491	3.76286361761982	0.507970024611121	-0.66200186786951	0.245571658615137	1
NKX2-1	10	0.846153846153846	0.00117954029276449	18.2882771417117	0.740689892454421	-0.330939887005503	0.032200357781753	0.193444608013376
NLGN1	4	0.78	0.585477415666095	2.48026752849279	0.116237915775929	-1.57076211182509	0.505490196078431	1
NOCT	11	0.804347826086957	0.0775730127561426	7.36766533866939	0.943328789474964	-0.0710866544880854	0.067934782608696	1
NOS2	7	0.806818181818182	0.0185628592363426	10.4545458789554	0.0328902584110378	-2.13342035912295	0.230519480519481	1
NPAS2	6	0.793478260869565	0.310148674854557	4.08935545245815	0.549681276811816	-0.598237793939187	0.239906832298136	1
NPS	8	0.828571428571429	0.0031577240669681	15.6873296455947	0.603130173274318	0.51990445056411	0.00912698412698398	0.517866746982769
NPSR1	5	0.782608695652174	0.324214608920491	3.76286361761982	0.0301748925016784	-2.16778705118854	0.0979397061051359	1
NR1D1	8	0.787234042553192	0.170350449484745	5.18187827157642	0.84906823077053	-0.190307431250634	0.210935341254491	1
NR1D2	7	0.804347826086957	0.298901098901099	4.4489949561672	0.892999935676669	-0.134509201234475	0.51268115942029	1
NR1H3	5	0.785714285714286	0.319757810323848	3.86111994983791	0.0210262068202498	-2.30751356646098	0.092400332225914	1
NR2F6	3	0.802325581395349	0.562904717853839	2.93126576114587	0.472944163804336	-0.717696950803873	0.506871035940804	1
NR3C1	10	0.813953488372093	0.0081655087381585	12.6123678977952	0.0318141901509867	-2.14673744214107	0.217362579281184	1
NRIP1	3	0.785714285714286	0.579093432007401	2.57837239381146	0.154483446323592	1.42387228384492	0.506644518272426	1
NTRK1	9	0.825	0.00154094826461173	17.1003861426813	0.787748445199868	-0.269235523732094	0.029545454545455	0.252715515396324
OGT	9	0.818181818181818	0.0163114598895174	11.4414915740174	0.310326664341858	-1.01453683055677	0.020309477756286	1
OPN3	10	0.854838709677419	0.000925535809256741	21.3429362163263	0.411868484057951	0.820609939862218	0.011088709677419	0.151787872718106
OPN4	9	0.817073170731707	0.00783011731697588	12.8885952698234	0.0247918904701695	-2.24463007363755	0.0281842818428181	1
OPN5	10	0.813953488372093	0.0081655087381585	12.6123678977952	0.913175090735302	0.109034544977456	0.2178943750716	1
PARP1	13	0.878378378378378	3.36498468286803e-06	40.1941956724767	0.123221874080327	1.54139009159602	0.036914963744231	0.000551857487990357
PAX4	3	0.7625	0.347517730496454	4.27631783689491	0.571206709604051	0.566275210155241	0.2625	1
PER1	8	0.81578947368421	0.0167383220849398	11.1150018447759	0.021214233264321	-2.30414984955615	0.0300751879699239	1
PER2	5	0.791666666666667	0.312255139114185	4.03900743099942	0.121587016849979	-1.54814654952376	0.091124661246613	1
PER3	12	0.882352941176471	7.32957491866991e-06	38.5309761504873	0.459171883292449	-0.740211149592164	0.049019607843138	0.00120205028666187
PHLPP1	9	0.817073170731707	0.00783011731697588	12.8885952698234	0.471739622332847	0.719651455301889	0.217073170731707	1
PML	8	0.808823529411765	0.00978298425831038	13.4133625786711	0.486048056262711	0.696608146443258	0.00882352941176501	1
PPARA	3	0.78125	0.584051908136259	2.50153334550313	0.549658349153278	-0.59827216069993	0.505739795918367	1
PPARG	4	0.684385382059801	0.153090492288074	3.57777306102046	0.246369764164725	1.15921204193424	0.148671096345515	1
PPARGC1A	10	0.825581395348837	0.00323444079790456	15.5537876374166	0.529312945274777	-0.62905515928154	0.027709054923305	0.530448290856348
PPP1CA	13	0.7625	0.119542590631452	4.53473846259241	0.907320477361868	0.116419000751336	0.0556818181818179	1
PPP1CB	9	0.797872340425532	0.081573008321066	7.01297509691556	0.0339187727657297	-2.12103600291804	0.079579657498703	1
PPP1CC	2	0.782608695652174	0.582521008403361	2.52477107105968	0.260704825736269	-1.12472678992139		1
PRKAA1	2	0.274509803921569	1	1.2041556919309	0.360010349028015	0.915345368075432		1
PRKAA2	14	0.833333333333333	0.00131335408922959	18.3616063038916	0.225103883458933	-1.21306784255167	0.0289855072463761	0.215390070633653
PRKCG	4	0.784090909090909	0.580872774641772	2.55026851281254	0.117933786366458	1.56350531568667	0.506313131313131	1
PRKDC	10	0.80952380952381	0.00885320314087405	12.1639849488416	0.569372479241056	-0.568975923455756	0.156937602627258	1
PRMT5	10	0.795454545454545	0.0835742480298175	6.86272471162377	0.37992098059534	0.878041900371005	0.068181818181818	1
PROK2	6	0.804878048780488	0.298124632074679	4.4439563045812	0.0326221473212525	-2.13670310485054	0.514180374361883	1
PROKR2	10	0.828947368421053	0.00143803650519717	17.5830970803516	0.462650902311841	0.734488769495109	0.024069319640565	0.235837986852336
PROX1	11	0.825581395348837	0.0070852267040899	13.8387714043245	0.544761172915424	-0.605628951371552	0.0666528239202661	1
PSPC1	5	0.699404761904762	0.0860686058693001	4.27052169548586	0.130731279570857	-1.51122443215746	0.0150193798449609	1
