Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
SRR20988139	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20988140	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993198	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993199	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993200	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993201	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993202	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993203	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20993204	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep
SRR20210894	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210895	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210896	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210897	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210898	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210899	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210900	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210901	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210902	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210903	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210904	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210905	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210906	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210907	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210908	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210909	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210910	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210911	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR20210912	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep
SRR495397	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495398	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495399	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495400	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495401	PRJNA164679	blood	female	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495402	PRJNA164679	blood	female	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495403	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495404	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495405	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
SRR495406	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep
